,Movie,Year,Length(minutes),Genre,Director
0, Priča sa zapadne strane,2021,156 min,Crime, Steven Spielberg
1, France,2021,133 min,Comedy, Bruno Dumont
2, Spider-Man: Put bez povratka,2021,-,Action, Jon Watts
3, The Lost Daughter,2021,121 min,Drama, Maggie Gyllenhaal
4, Matrix Uskrsnuća,2021,148 min,Action, Lana Wachowski
5, The Tragedy of Macbeth,2021,105 min,Drama, Joel Coen
6, A Journal for Jordan,2021,-,Drama, Denzel Washington
7, Cyrano,2021,124 min,Drama, Joe Wright
8, Agnes,2021,93 min,Drama, Mickey Reece
9, The Contractor,2022,-,Action, Tarik Saleh
10, Nightmare Alley,2021,150 min,Action, Guillermo del Toro
11, The Novice,2021,94 min,Thriller, Lauren Hadaway
12, Kings's Man: Početak,2021,131 min,Action, Matthew Vaughn
13, Pjevajte s nama 2,2021,112 min,Animation, Garth Jennings
14, American Underdog,2021,-,Biography, Andrew Erwin
